disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2
257,257,200,UKG,255,GMY,1917,26,7,1914,11,11,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,1,3,1,4,365,1255,20,20,20,100,100,100,0,0,1,0,0
257,257,200,UKG,255,GMY,1918,26,7,1914,11,11,1918,1,2,6,22,5,0,4,11,0,0,0,6,22,5,0,1,0,0,6,22,5,0,4,2,1,3,1,5,316,1571,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,200,UKG,1914,26,7,1914,11,11,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,1,159,159,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,200,UKG,1915,26,7,1914,11,11,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,2,365,524,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,200,UKG,1916,26,7,1914,11,11,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,3,366,890,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,200,UKG,1917,26,7,1914,11,11,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,4,365,1255,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,200,UKG,1918,26,7,1914,11,11,1918,2,2,6,22,5,0,4,11,1,0,0,6,22,5,0,0,0,0,6,22,5,0,2,4,3,1,1,5,316,1571,20,20,20,100,100,100,0,0,1,0,0
257,257,200,UKG,640,TUR,1914,28,7,1914,30,10,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,1,3,1,1,157,157,20,20,20,100,100,100,0,0,1,0,0
257,257,200,UKG,640,TUR,1915,28,7,1914,30,10,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,1,3,1,2,365,522,20,20,20,100,100,100,0,0,1,0,0
257,257,200,UKG,640,TUR,1916,28,7,1914,30,10,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,1,3,1,3,366,888,20,20,20,100,100,100,0,0,1,0,0
257,257,200,UKG,640,TUR,1917,28,7,1914,30,10,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,1,3,1,4,365,1253,20,20,20,100,100,100,0,0,1,0,0
257,257,200,UKG,640,TUR,1918,28,7,1914,30,10,1918,1,2,6,22,5,0,4,11,0,0,0,6,22,5,0,1,0,0,6,22,5,0,4,2,1,3,1,5,304,1557,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,200,UKG,1914,28,7,1914,30,10,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,1,157,157,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,200,UKG,1915,28,7,1914,30,10,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,2,365,522,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,200,UKG,1916,28,7,1914,30,10,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,3,366,888,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,200,UKG,1917,28,7,1914,30,10,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,4,365,1253,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,200,UKG,1918,28,7,1914,30,10,1918,2,2,6,22,5,0,4,11,1,0,0,6,22,5,0,0,0,0,6,22,5,0,2,4,3,1,1,5,304,1557,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,640,TUR,1914,4,8,1914,30,10,1918,0,0,0,20,4,0,4,11,0,0,0,0,20,4,0,1,0,0,0,12,3,0,4,2,3,1,0,1,150,150,18,18,10,99,99,82,0,0,1,0,0
257,257,220,FRN,640,TUR,1915,4,8,1914,30,10,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,2,365,515,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,640,TUR,1916,4,8,1914,30,10,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,3,366,881,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,640,TUR,1917,4,8,1914,30,10,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,4,365,1246,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,640,TUR,1918,4,8,1914,30,10,1918,1,2,6,22,5,0,4,11,0,0,0,6,22,5,0,1,0,0,6,22,5,0,4,2,3,1,1,5,304,1550,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,220,FRN,1914,4,8,1914,30,10,1918,0,0,0,20,4,0,4,11,1,0,0,0,12,3,0,0,0,0,0,20,4,0,2,4,1,3,0,1,150,150,18,10,18,99,82,99,0,0,1,0,0
257,257,640,TUR,220,FRN,1915,4,8,1914,30,10,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,2,365,515,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,220,FRN,1916,4,8,1914,30,10,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,3,366,881,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,220,FRN,1917,4,8,1914,30,10,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,4,365,1246,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,220,FRN,1918,4,8,1914,30,10,1918,2,2,6,22,5,0,4,11,1,0,0,6,22,5,0,0,0,0,6,22,5,0,2,4,1,3,1,5,304,1550,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,255,GMY,1914,31,7,1914,11,11,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,1,154,154,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,255,GMY,1915,31,7,1914,11,11,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,2,365,519,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,255,GMY,1916,31,7,1914,11,11,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,3,366,885,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,255,GMY,1917,31,7,1914,11,11,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,4,365,1250,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,255,GMY,1918,31,7,1914,11,11,1918,1,2,6,22,5,0,4,11,0,0,0,6,22,5,0,1,0,0,6,22,5,0,4,2,3,1,1,5,316,1566,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,220,FRN,1914,31,7,1914,11,11,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,1,154,154,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,220,FRN,1915,31,7,1914,11,11,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,2,365,519,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,220,FRN,1916,31,7,1914,11,11,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,3,366,885,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,220,FRN,1917,31,7,1914,11,11,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,4,365,1250,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,220,FRN,1918,31,7,1914,11,11,1918,2,2,6,22,5,0,4,11,1,0,0,6,22,5,0,0,0,0,6,22,5,0,2,4,1,3,1,5,316,1566,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,365,RUS,1914,29,7,1914,27,8,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,1,156,156,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,365,RUS,1915,29,7,1914,27,8,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,2,365,521,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,365,RUS,1916,29,7,1914,27,8,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,3,366,887,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,365,RUS,1917,29,7,1914,27,8,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,4,365,1252,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,365,RUS,1918,29,7,1914,27,8,1918,1,2,6,22,5,0,4,11,1,0,0,6,22,5,0,0,0,0,6,22,5,0,2,4,1,3,1,5,240,1492,20,20,20,100,100,100,0,0,1,0,0
257,257,365,RUS,255,GMY,1914,29,7,1914,27,8,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,1,156,156,20,20,20,100,100,100,0,0,1,0,0
257,257,365,RUS,255,GMY,1915,29,7,1914,27,8,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,2,365,521,20,20,20,100,100,100,0,0,1,0,0
257,257,365,RUS,255,GMY,1916,29,7,1914,27,8,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,3,366,887,20,20,20,100,100,100,0,0,1,0,0
257,257,365,RUS,255,GMY,1917,29,7,1914,27,8,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,4,365,1252,20,20,20,100,100,100,0,0,1,0,0
257,257,365,RUS,255,GMY,1918,29,7,1914,27,8,1918,2,2,6,22,5,0,4,11,0,0,0,6,22,5,0,1,0,0,6,22,5,0,4,2,3,1,1,5,240,1492,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,345,YUG,1915,5,10,1915,11,11,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,1,2,3,1,3,1,1,78,78,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,345,YUG,1916,5,10,1915,11,11,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,1,2,3,1,3,1,2,366,444,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,345,YUG,1917,5,10,1915,11,11,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,1,2,3,1,3,1,3,365,809,20,20,20,100,100,100,0,0,1,0,0
257,257,255,GMY,345,YUG,1918,5,10,1915,11,11,1918,2,2,6,22,5,0,4,11,1,0,0,6,22,5,0,0,0,0,6,22,5,1,2,3,1,3,1,4,316,1125,20,20,20,100,100,100,0,0,1,0,0
257,257,345,YUG,255,GMY,1915,5,10,1915,11,11,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,1,1,0,0,0,22,5,0,3,2,3,1,1,1,78,78,20,20,20,100,100,100,0,0,1,0,0
257,257,345,YUG,255,GMY,1916,5,10,1915,11,11,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,1,1,0,0,0,22,5,0,3,2,3,1,1,2,366,444,20,20,20,100,100,100,0,0,1,0,0
257,257,345,YUG,255,GMY,1917,5,10,1915,11,11,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,1,1,0,0,0,22,5,0,3,2,3,1,1,3,365,809,20,20,20,100,100,100,0,0,1,0,0
257,257,345,YUG,255,GMY,1918,5,10,1915,11,11,1918,1,2,6,22,5,0,4,11,0,0,0,6,22,5,1,1,0,0,6,22,5,0,3,2,3,1,1,4,316,1125,20,20,20,100,100,100,0,0,1,0,0
257,257,365,RUS,640,TUR,1914,4,8,1914,14,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,1,150,150,20,20,20,100,100,100,0,0,1,0,0
257,257,365,RUS,640,TUR,1915,4,8,1914,14,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,2,365,515,20,20,20,100,100,100,0,0,1,0,0
257,257,365,RUS,640,TUR,1916,4,8,1914,14,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,3,366,881,20,20,20,100,100,100,0,0,1,0,0
257,257,365,RUS,640,TUR,1917,4,8,1914,14,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,3,1,1,4,365,1246,20,20,20,100,100,100,0,0,1,0,0
257,257,365,RUS,640,TUR,1918,4,8,1914,14,9,1918,2,2,6,22,5,0,4,11,0,0,0,6,22,5,0,1,0,0,6,22,5,0,4,2,3,1,1,5,258,1504,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,365,RUS,1914,4,8,1914,14,9,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,1,150,150,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,365,RUS,1915,4,8,1914,14,9,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,2,365,515,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,365,RUS,1916,4,8,1914,14,9,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,3,366,881,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,365,RUS,1917,4,8,1914,14,9,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,1,3,1,4,365,1246,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,365,RUS,1918,4,8,1914,14,9,1918,1,2,6,22,5,0,4,11,1,0,0,6,22,5,0,0,0,0,6,22,5,0,2,4,1,3,1,5,258,1504,20,20,20,100,100,100,0,0,1,0,0
257,257,345,YUG,355,BUL,1915,21,9,1915,29,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,1,1,1,1,0,22,5,0,3,2,3,1,1,1,102,102,20,20,20,100,100,100,0,0,1,0,0
257,257,345,YUG,355,BUL,1916,21,9,1915,29,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,1,1,1,1,0,22,5,0,3,2,3,1,1,2,366,468,20,20,20,100,100,100,0,0,1,0,0
257,257,345,YUG,355,BUL,1917,21,9,1915,29,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,1,1,1,1,0,22,5,0,3,2,3,1,1,3,365,833,20,20,20,100,100,100,0,0,1,0,0
257,257,345,YUG,355,BUL,1918,21,9,1915,29,9,1918,2,2,6,22,5,0,4,11,0,0,0,6,22,5,1,1,1,1,6,22,5,0,3,2,3,1,1,4,273,1106,20,20,20,100,100,100,0,0,1,0,0
257,257,355,BUL,345,YUG,1915,21,9,1915,29,9,1918,0,0,0,22,5,0,4,11,1,1,1,0,22,5,0,0,0,0,0,22,5,1,2,3,1,3,1,1,102,102,20,20,20,100,100,100,0,0,1,0,0
257,257,355,BUL,345,YUG,1916,21,9,1915,29,9,1918,0,0,0,22,5,0,4,11,1,1,1,0,22,5,0,0,0,0,0,22,5,1,2,3,1,3,1,2,366,468,20,20,20,100,100,100,0,0,1,0,0
257,257,355,BUL,345,YUG,1917,21,9,1915,29,9,1918,0,0,0,22,5,0,4,11,1,1,1,0,22,5,0,0,0,0,0,22,5,1,2,3,1,3,1,3,365,833,20,20,20,100,100,100,0,0,1,0,0
257,257,355,BUL,345,YUG,1918,21,9,1915,29,9,1918,1,2,6,22,5,0,4,11,1,1,1,6,22,5,0,0,0,0,6,22,5,1,2,3,1,3,1,4,273,1106,20,20,20,100,100,100,0,0,1,0,0
257,257,345,YUG,640,TUR,1916,17,8,1916,30,10,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,1,1,1,1,0,22,5,0,3,2,3,1,1,1,137,137,20,20,20,100,100,100,0,0,1,0,0
257,257,345,YUG,640,TUR,1917,17,8,1916,30,10,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,1,1,1,1,0,22,5,0,3,2,3,1,1,2,365,502,20,20,20,100,100,100,0,0,1,0,0
257,257,345,YUG,640,TUR,1918,17,8,1916,30,10,1918,1,2,6,22,5,0,4,11,0,0,0,6,22,5,1,1,1,1,6,22,5,0,3,2,3,1,1,3,304,806,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,345,YUG,1916,17,8,1916,30,10,1918,0,0,0,22,5,0,4,11,1,1,1,0,22,5,0,0,0,0,0,22,5,1,2,3,1,3,1,1,137,137,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,345,YUG,1917,17,8,1916,30,10,1918,0,0,0,22,5,0,4,11,1,1,1,0,22,5,0,0,0,0,0,22,5,1,2,3,1,3,1,2,365,502,20,20,20,100,100,100,0,0,1,0,0
257,257,640,TUR,345,YUG,1918,17,8,1916,30,10,1918,2,2,6,22,5,0,4,11,1,1,1,6,22,5,0,0,0,0,6,22,5,1,2,3,1,3,1,3,304,806,20,20,20,100,100,100,0,0,1,0,0
257,257,200,UKG,355,BUL,1915,5,10,1915,29,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,1,3,1,1,88,88,20,20,20,100,100,100,0,0,1,0,0
257,257,200,UKG,355,BUL,1916,5,10,1915,29,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,1,3,1,2,366,454,20,20,20,100,100,100,0,0,1,0,0
257,257,200,UKG,355,BUL,1917,5,10,1915,29,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,1,3,1,3,365,819,20,20,20,100,100,100,0,0,1,0,0
257,257,200,UKG,355,BUL,1918,5,10,1915,29,9,1918,1,2,6,22,5,0,4,11,0,0,0,6,22,5,0,1,0,0,6,22,5,0,4,2,1,3,1,4,273,1092,20,20,20,100,100,100,0,0,1,0,0
257,257,355,BUL,200,UKG,1915,5,10,1915,29,9,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,1,88,88,20,20,20,100,100,100,0,0,1,0,0
257,257,355,BUL,200,UKG,1916,5,10,1915,29,9,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,2,366,454,20,20,20,100,100,100,0,0,1,0,0
257,257,355,BUL,200,UKG,1917,5,10,1915,29,9,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,3,365,819,20,20,20,100,100,100,0,0,1,0,0
257,257,355,BUL,200,UKG,1918,5,10,1915,29,9,1918,2,2,6,22,5,0,4,11,1,0,0,6,22,5,0,0,0,0,6,22,5,0,2,4,3,1,1,4,273,1092,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,355,BUL,1915,5,10,1915,29,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,1,3,1,1,88,88,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,355,BUL,1916,5,10,1915,29,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,1,3,1,2,366,454,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,355,BUL,1917,5,10,1915,29,9,1918,0,0,0,22,5,0,4,11,0,0,0,0,22,5,0,1,0,0,0,22,5,0,4,2,1,3,1,3,365,819,20,20,20,100,100,100,0,0,1,0,0
257,257,220,FRN,355,BUL,1918,5,10,1915,29,9,1918,1,2,6,22,5,0,4,11,0,0,0,6,22,5,0,1,0,0,6,22,5,0,4,2,1,3,1,4,273,1092,20,20,20,100,100,100,0,0,1,0,0
257,257,355,BUL,220,FRN,1915,5,10,1915,29,9,1918,0,0,0,22,5,0,4,11,1,0,0,0,22,5,0,0,0,0,0,22,5,0,2,4,3,1,1,1,88,88,20,20,20,100,100,100,0,0,1,0,0
